L,K,M,threshold,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Calmar,Hit Rate,N Days
126,10,20,0.5,-0.17297804539777162,0.023477608657544793,-7.367788087829089,-0.9330703256665855,-0.18538586067903948,0.29854910714285715,3584.0
126,10,20,1.0,-0.20851966808122524,0.032474756213933066,-6.4209771647727205,-0.9640805922582681,-0.21628862748163774,0.31919642857142855,3584.0
126,10,20,1.5,-0.2273979112914961,0.05092023773013008,-4.465766882249691,-0.9745012599566236,-0.23334799105505302,0.3515625,3584.0
