threshold,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Calmar,Hit Rate,N Days,Mean Turnover
1.0,-0.20870434489533696,0.03271581983833473,-6.379309640615757,-0.964199606535016,-0.21645346407612087,0.318359375,3584.0,1.7085238221028458
1.25,-0.2179131158594929,0.04062578859399371,-5.363911037820694,-0.9696677979808881,-0.22472966134716163,0.32589285714285715,3584.0,1.7942758812725172
1.5,-0.22592632556204095,0.051115054784541196,-4.4199566353662245,-0.9738017520740407,-0.2320044352773594,0.35853794642857145,3584.0,1.855675214794164
1.75,-0.22742201644044735,0.06698062241280478,-3.395340446955458,-0.974638201451093,-0.23333993691387162,0.3931361607142857,3584.0,1.8947782480526354
2.0,-0.23768050871986068,0.09189276852929887,-2.5864985082485483,-0.979469783331071,-0.24266242079621375,0.40513392857142855,3584.0,1.919450058229143
2.5,-0.2549600659013964,0.13185813848899008,-1.9335937001923102,-0.9851626185176174,-0.25879997993126963,0.42578125,3584.0,1.9311559895324095
