,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Calmar,Hit Rate,N Days
V1 0bps,-0.018527157273720785,0.032709175861245735,-0.5664207912884778,-0.31164514326389803,-0.05944952993550158,0.4810267857142857,3584.0
V1 5bps,-0.20870434489533696,0.03271581983833473,-6.379309640615757,-0.964199606535016,-0.21645346407612087,0.318359375,3584.0
V3 safe 0bps,-0.01577440307397593,0.02757881178755945,-0.5719754424333691,-0.27042628834318816,-0.058331618462910705,0.4849330357142857,3584.0
V3 safe 5bps,-0.19794329669501443,0.027579781654967928,-7.177116163258639,-0.956627094834479,-0.206917928379672,0.29380580357142855,3584.0
