,Ann. Return,Ann. Vol,Sharpe,Max Drawdown
0 bps,-0.018527157273720785,0.032709175861245735,-0.5664207912884778,-0.31164514326389803
1 bps,-0.059894039186380255,0.03270870113470908,-1.8311347472866557,-0.592357987156912
2 bps,-0.09952405350144722,0.03270912824175958,-3.042699663709941,-0.7759713974062157
5 bps,-0.20870434489533696,0.03271581983833473,-6.379309640615757,-0.964199606535016
10 bps,-0.3621494459211445,0.03274499122499974,-11.059689814320521,-0.9983285766204943
