,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Calmar,Hit Rate,N Days
"Main (V1 equal-weight, 5 bps)",-0.20870434489533696,0.03271581983833473,-6.379309640615757,-0.964199606535016,-0.21645346407612087,0.318359375,3584.0
"Quantile (top/bot 10%, 5 bps)",-0.22019105409994721,0.040149969424510726,-5.484214739290066,-0.9709909215821444,-0.22676942616637985,0.33035714285714285,3584.0
"Cross-sectional reversal (1d, 5 bps)",-0.19129809049290802,0.08137410786084383,-2.3508471616062803,-0.9520563445268717,-0.20093148015097193,0.4174107142857143,3584.0
"Cross-sectional reversal (5d, 5 bps)",-0.12309541037745564,0.0841565226192205,-1.4626960162603235,-0.8550844510163992,-0.14395702112363035,0.4467075892857143,3584.0
"Cross-sectional reversal (10d, 5 bps)",-0.10010287833407039,0.08488358233427384,-1.1792961086380938,-0.7960642048059253,-0.12574724215677396,0.4603794642857143,3584.0
"Cross-sectional reversal (20d, 5 bps)",-0.07359218965078473,0.08484209518975565,-0.8674018420477516,-0.712374769607735,-0.10330544088655447,0.46986607142857145,3584.0
"Random L-S (mean Sharpe, 5 bps)",,,-7.235046215107767,,,,
